label,family,kind,d,bf,tw,tf,fillet,b,t,ht,B,wall,od,radius
W44X335,W,IShape,44.0,15.9,1.03,1.77,0.79,,,,,,,
W44X290,W,IShape,43.6,15.8,0.865,1.58,0.78,,,,,,,
W44X262,W,IShape,43.3,15.8,0.785,1.42,0.78,,,,,,,
W44X230,W,IShape,42.9,15.8,0.71,1.22,0.79,,,,,,,
W40X655,W,IShape,43.6,16.9,1.97,3.54,1.18,,,,,,,
W40X593,W,IShape,43.0,16.7,1.79,3.23,1.18,,,,,,,
W40X503,W,IShape,42.1,16.4,1.54,2.76,1.18,,,,,,,
W40X431,W,IShape,41.3,16.2,1.34,2.36,1.18,,,,,,,
W40X397,W,IShape,41.0,16.1,1.22,2.2,1.18,,,,,,,
W40X372,W,IShape,40.6,16.1,1.16,2.05,1.18,,,,,,,
W40X362,W,IShape,40.6,16.0,1.12,2.01,1.18,,,,,,,
W40X324,W,IShape,40.2,15.9,1.0,1.81,1.18,,,,,,,
W40X297,W,IShape,39.8,15.8,0.93,1.65,1.18,,,,,,,
W40X277,W,IShape,39.7,15.8,0.83,1.58,1.18,,,,,,,
W40X249,W,IShape,39.4,15.8,0.75,1.42,1.18,,,,,,,
W40X215,W,IShape,39.0,15.8,0.65,1.22,1.18,,,,,,,
W40X199,W,IShape,38.7,15.8,0.65,1.07,1.18,,,,,,,
W40X392,W,IShape,41.6,12.4,1.42,2.52,1.18,,,,,,,
W40X331,W,IShape,40.8,12.2,1.22,2.13,1.18,,,,,,,
W40X327,W,IShape,40.8,12.1,1.18,2.13,1.18,,,,,,,
W40X294,W,IShape,40.4,12.0,1.06,1.93,1.18,,,,,,,
W40X278,W,IShape,40.2,12.0,1.03,1.81,1.18,,,,,,,
W40X264,W,IShape,40.0,11.9,0.96,1.73,1.18,,,,,,,
W40X235,W,IShape,39.7,11.9,0.83,1.58,1.18,,,,,,,
W40X211,W,IShape,39.4,11.8,0.75,1.42,1.18,,,,,,,
W40X183,W,IShape,39.0,11.8,0.65,1.2,1.18,,,,,,,
W40X167,W,IShape,38.6,11.8,0.65,1.03,1.18,,,,,,,
W40X149,W,IShape,38.2,11.8,0.63,0.83,1.18,,,,,,,
W36X925,W,IShape,43.1,18.6,3.02,4.53,0.75,,,,,,,
W36X853,W,IShape,43.1,18.2,2.52,4.53,0.75,,,,,,,
W36X802,W,IShape,42.6,18.0,2.38,4.29,0.75,,,,,,,
W36X723,W,IShape,41.8,17.8,2.17,3.9,0.75,,,,,,,
W36X652,W,IShape,41.1,17.6,1.97,3.54,0.95,,,,,,,
W36X529,W,IShape,39.8,17.2,1.61,2.91,0.95,,,,,,,
W36X487,W,IShape,39.3,17.1,1.5,2.68,0.95,,,,,,,
W36X441,W,IShape,38.9,17.0,1.36,2.44,0.95,,,,,,,
W36X395,W,IShape,38.4,16.8,1.22,2.2,0.95,,,,,,,
W36X361,W,IShape,38.0,16.7,1.12,2.01,0.95,,,,,,,
W36X330,W,IShape,37.7,16.6,1.02,1.85,0.95,,,,,,,
W36X302,W,IShape,37.3,16.7,0.945,1.68,0.95,,,,,,,
W36X282,W,IShape,37.1,16.6,0.885,1.57,0.95,,,,,,,
W36X262,W,IShape,36.9,16.6,0.84,1.44,0.95,,,,,,,
W36X247,W,IShape,36.7,16.5,0.8,1.35,0.95,,,,,,,
W36X231,W,IShape,36.5,16.5,0.76,1.26,0.95,,,,,,,
W36X256,W,IShape,37.4,12.2,0.96,1.73,0.75,,,,,,,
W36X232,W,IShape,37.1,12.1,0.87,1.57,0.75,,,,,,,
W36X210,W,IShape,36.7,12.2,0.83,1.36,0.75,,,,,,,
W36X194,W,IShape,36.5,12.1,0.765,1.26,0.75,,,,,,,
W36X182,W,IShape,36.3,12.1,0.725,1.18,0.75,,,,,,,
W36X170,W,IShape,36.2,12.0,0.68,1.1,0.75,,,,,,,
W36X160,W,IShape,36.0,12.0,0.65,1.02,0.75,,,,,,,
W36X150,W,IShape,35.9,12.0,0.625,0.94,0.75,,,,,,,
W36X135,W,IShape,35.6,12.0,0.6,0.79,0.75,,,,,,,
W33X387,W,IShape,36.0,16.2,1.26,2.28,0.79,,,,,,,
W33X354,W,IShape,35.6,16.1,1.16,2.09,0.79,,,,,,,
W33X318,W,IShape,35.2,16.0,1.04,1.89,0.79,,,,,,,
W33X291,W,IShape,34.8,15.9,0.96,1.73,0.79,,,,,,,
W33X263,W,IShape,34.5,15.8,0.87,1.57,0.79,,,,,,,
W33X241,W,IShape,34.2,15.9,0.83,1.4,0.79,,,,,,,
W33X221,W,IShape,33.9,15.8,0.775,1.28,0.78,,,,,,,
W33X201,W,IShape,33.7,15.7,0.715,1.15,0.79,,,,,,,
W33X169,W,IShape,33.8,11.5,0.67,1.22,0.7,,,,,,,
W33X152,W,IShape,33.5,11.6,0.635,1.06,0.7,,,,,,,
W33X141,W,IShape,33.3,11.5,0.605,0.96,0.7,,,,,,,
W33X130,W,IShape,33.1,11.5,0.58,0.855,0.705,,,,,,,
W33X118,W,IShape,32.9,11.5,0.55,0.74,0.7,,,,,,,
W30X391,W,IShape,33.2,15.6,1.36,2.44,0.79,,,,,,,
W30X357,W,IShape,32.8,15.5,1.24,2.24,0.79,,,,,,,
W30X326,W,IShape,32.4,15.4,1.14,2.05,0.79,,,,,,,
W30X292,W,IShape,32.0,15.3,1.02,1.85,0.79,,,,,,,
W30X261,W,IShape,31.6,15.2,0.93,1.65,0.79,,,,,,,
W30X235,W,IShape,31.3,15.1,0.83,1.5,0.79,,,,,,,
W30X211,W,IShape,30.9,15.1,0.775,1.32,0.78,,,,,,,
W30X191,W,IShape,30.7,15.0,0.71,1.19,0.78,,,,,,,
W30X173,W,IShape,30.4,15.0,0.655,1.07,0.78,,,,,,,
W30X148,W,IShape,30.7,10.5,0.65,1.18,0.65,,,,,,,
W30X132,W,IShape,30.3,10.5,0.615,1.0,0.65,,,,,,,
W30X124,W,IShape,30.2,10.5,0.585,0.93,0.65,,,,,,,
W30X116,W,IShape,30.0,10.5,0.565,0.85,0.65,,,,,,,
W30X108,W,IShape,29.8,10.5,0.545,0.76,0.65,,,,,,,
W30X99,W,IShape,29.7,10.5,0.52,0.67,0.65,,,,,,,
